Position,Track Name,Artist,Streams,URL,Week,Region
1,Prinzessa,Capital Bra,381998,https://open.spotify.com/track/7r55d7IhAj5UGKiYbXBwRP,2019-02-01,Austria
2,Hobby Hobby,MERO,286172,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT,2019-02-01,Austria
3,7 rings,Ariana Grande,204439,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019-02-01,Austria
4,Benzema,Capital Bra,197886,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-02-01,Austria
5,Sweet but Psycho,Ava Max,194821,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-02-01,Austria
6,DODI,Shindy,168927,https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H,2019-02-01,Austria
7,High Hopes,Panic! At The Disco,150972,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-02-01,Austria
8,Baller los,MERO,148466,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019-02-01,Austria
9,Tausend Tattoos,Sido,142115,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019-02-01,Austria
10,JAJA,Fero47,130298,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf,2019-02-01,Austria
11,Wenn die Sonne untergeht,Azet,124122,https://open.spotify.com/track/23N0z3XkwS2ErcNKsgCWAb,2019-02-01,Austria
12,Speechless (feat. Erika Sirola),Robin Schulz,119985,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019-02-01,Austria
13,Without Me,Halsey,116945,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-02-01,Austria
14,Orbit,SHIRIN DAVID,113597,https://open.spotify.com/track/0dUjcVPXy2Npz7RAmylgOS,2019-02-01,Austria
15,500 PS,Bonez MC,113471,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-02-01,Austria
16,Wow.,Post Malone,112568,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-02-01,Austria
17,DSCHINNI,Gringo,107779,https://open.spotify.com/track/3823YouAYclNSqtn7vDjgs,2019-02-01,Austria
18,HaifischNikez Allstars,LX,106912,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019-02-01,Austria
19,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,105860,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019-02-01,Austria
20,Be Alright,Dean Lewis,103978,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-02-01,Austria
21,Warnung,Kontra K,96709,https://open.spotify.com/track/3OgD9c7c6GhEWUK660Ezbr,2019-02-01,Austria
22,#niemalsantäuschen,Farid Bang,95685,https://open.spotify.com/track/4mI0sGmXHviRF9QbY4bfq7,2019-02-01,Austria
23,Perfekt (feat. Sofiane),RAF Camora,92821,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr,2019-02-01,Austria
24,Cataleya,Samra,92041,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR,2019-02-01,Austria
25,Fading,Alle Farben,90522,https://open.spotify.com/track/2RP8Svo0pMwZXnVcmOffDw,2019-02-01,Austria
26,Roadrunner,Nimo,84856,https://open.spotify.com/track/5ryCDI7vwLZp2PyHRdXGLC,2019-02-01,Austria
27,Lelele,Azet,83673,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019-02-01,Austria
28,In My Mind,Dynoro,83430,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-02-01,Austria
29,Ich liebe es (feat. XATAR & SAMY),Capital Bra,83227,https://open.spotify.com/track/71XGMPKmWtVxO7bGcGZhbn,2019-02-01,Austria
30,Kokain,Bonez MC,82369,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf,2019-02-01,Austria
31,Feuer,Capital Bra,81889,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019-02-01,Austria
32,Happier,Marshmello,79828,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-02-01,Austria
33,Shallow,Lady Gaga,78610,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-02-01,Austria
34,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,77959,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-02-01,Austria
35,2x,Mathea,77434,https://open.spotify.com/track/2pu5rVWy3zPlgypJzL3Mlw,2019-02-01,Austria
36,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,74617,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-02-01,Austria
37,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,72368,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-02-01,Austria
38,Zoey,Nimo,71394,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019-02-01,Austria
